questions,responses
Who is considered to be instrumental to the success of the Chandrayaan1 mission?,The scientists considered to be instrumental to the success of the Chandrayaan1 project.
What was the first time the Chandrayaan2 was repurposed?,With the new mission timeline for Chandrayaan2 and an opportunity for a Mars mission arising with launch window in 2013 .unused Chandrayaan2 orbiter hardware was repurposed to be used for Mars Orbiter Mission.
What did the scientists say about the results of the Chandrayaan1 mission?,ISRO said scientists from India and participating agencies expressed satisfaction on the performance of Chandrayaan1 mission as well as the high quality of data sent by the spacecraft.
What caused Vikram to land hard?,This deviation from nominal velocity reduction was beyond the designed parameters of on-board software causing Vikram to land hard though it managed to impact relatively near the intended landing site.
What were the primary objectives of the Chandrayaan2 mission?,The primary objectives of the Chandrayaan2 lander were to demonstrate the ability to softland and operate a robotic rover on the lunar surface.
What was the first time the Chandrayaan2 was scheduled to be launched?,"On 12 November 2007, Representatives of the Roscosmos and ISRO signed an agreement for the two agencies to work together on the Chandrayaan 1 followup project Chandrayaan2 ."
What was the planned landing zone for the Vikram lander?,The flat highland between craters Manzinus C and Simpelius N was the planned landing zone for the Vikram lander.
What was the first set of images taken by the Chandrayaan2?,On III August 2019 the first set of Earth images were captured by the LI4 CAM on the Vikram lander showing the North American landmass.
What was the first time Chandrayaan2 was delayed?,Chandrayaan2 launch had been scheduled for March 2018 initially but was first delayed to April and then to October to conduct further tests on the vehicle.
When was the Chandrayaan1 launched?,"During the tenure of Prime Minister Manmohan Singh, the Chandrayaan project got a boost and finally Chandrayaan1 was launched on 22 October 2008 at 0052 UTC from SDSC using the ISROs 44."
What is the significance of the Chandrayaan1 mission?,The researchers think that the faults and fractures discovered could be features of past interior tectonic activity coupled with meteorite impacts. The American Institute of Aeronautics and Astronautics AIA has selected ISROs Chandrayaan1 mission as one of the recipients of its annual AIA SPACE 2009 awards Which recognises key contributions to space science and technology .
Where was the prime site?,The prime site was on a high plain between the craters Manzinus C and Simpelius N on the near side of the Moon.
When was the Vikram lander supposed to land?,Vikram began its descent at 200803 UTC 6 September 2019 and was scheduled to land on the Moon at around 2023 UTC.
What is HEX?,HEX is a High Energy gamma ray spectrometer for 30200 keV measurements with a ground resolution of 40 km 25 mi. The HEX measured U Th 210Pb 222Rn degassing and other radioactive elements.
What is the lrc camera?,the LRO Camera.
What regions of the Moon did LLRI cover?,North and South Polar Regions of the Moon.
What was the main purpose of the TMC?,TMC was built by the ISROs SAC at Ahmedabad.
What was the main power source for the Chandrayaan1?,The power spacecraft was mainly powered by its solar array Which included one solar panel covering a total area of 2.
When was the HEX activated?,It was activated on 23 November 2008.
When did the LRO fly over?,NASAs LRO images showing no sight of the lander were released on 26 September.
How long did the Chandrayaan2 spacecraft enter lunar orbit?,29 days.
What is the method to detect the Xray signature of the moon?,"Detection of XRay signals,The Xray signatures of aluminium magnesium and silicon were picked up by the C1XS Xray camera."
What was the reason for the cancellation of the Chandrayaan2 launch?,Finally Chandrayaan2 has launched on board the GSLV MK III M1 launch vehicle on 22 July 2019 at 0913 UTC 1443 IST with a betterthanexpected apogee as a result of the cryogenic upper stage being burned to depletion Which later eliminated the need for one of the apogee raising burns during the geocentric phase of the mission.
What other instruments were used to map the lunar surface?,ISRO said interesting data on lunar polar areas was provided by LLRI and High Energy X Ray Spectrometer HEX of ISRO as well as Miniature SAR MiniSAR of the US.
Who set up the National Lunar Mission Task Force?,the ISRO.
What was the first instrument to detect water on the Moon?,"The Moon Mineralogy Mapper M3, an imaging spectrometer, was one of the 11 instruments on-board ChandrayaanI that came to a premature end on 28 August 2009."
Which converters were used to increase the temperature of the spacecraft?,DCDC.
Which company would have the prime responsibility for the orbiter and rover?,Roscosmos.
What was the main purpose of the Propulsion?,The spacecraft Propulsion used a bipropellant integrated propulsion system to reach lunar orbit as well as orbit and altitude maintenance while orbiting the Moon.
When did Chandrayaan1 enter lunar orbit?,The fifth and final orbit raising manoeuvre was carried out on III November 2008 at 2III26 UTC when the spacecrafts engine was fired for about two and a half minutes resulting in Chandrayaan1 entering the Lunar Transfer Trajectory with an apogee of about III80000 km 240000 mi. Chandrayaan1 completed the LOI operation on 8 November 2008 at 1121 UTC.
Who are the primary responsibility of the Chandrayaan2?,ISRO would have the prime responsibility for the orbiter and rover while Roscosmos was to provide the lander.
Where did Chandrayaan1 get its first launch?,Dhawan Space Centre.
When was the first SAR launched?,It was activated on 19 November 2008 and scientific observations were started on 20 November 2008.
What is the most definitive proof of the existence of water on the Moon?,"According to ESA ES scientists the lunar regolith, a loose collection of irregular dust grains making up the Moons surface, absorbs hydrogen nuclei from solar winds."
In What month did the lander undergo ground and aerial tests?,late October 2016.
When is a lunar lander planned for launch?,Q2 2021.
What consists of the RLVTD?,"RLVTD consists of a fuselage body, a nose cap, double delta wings and twin vertical tails."
What was the first sounding rocket?,"In 1975 all sounding rocket activities were consolidated under the RSR Programme ,ISRO started launching indigenously made sounding rockets from 1965 and experience gained was of immense value in the mastering of solid propellant technology."
What is the purpose of the IMS2?,"IMS2 development is an important milestone as it is envisaged to be a workhorse for different types of remote sensing applications ,The small satellite project is envisaged to provide a platform for standalone payloads for earth imaging and science missions within a quick turnaround time."
What are the main services of the INSAT system?,The INSAT system with more than 200 transponders in the C Extended C and Kubands provides services to telecommunications TV broadcasting satellite news gathering societal applications weather forecasting disaster warning and Search and Rescue operations.
What is the purpose of the IMS2 bus?,"For making the versatile platform for different kinds of payloads two kinds of buses have been configured and developed ,Indian Mini Satellite II IMSII Bus IMSII Bus is evolved as a standard bus of 400 kg class Which includes a payload capability of around II00kg."
What is the name of the INSAT INSAT?,Established in 1983 with the commissioning of INSAT 1B it initiated a major revolution in India's communications sector and sustained the same later.
What is the most advanced launch vehicle project?,"the GSLV ,the Augmented SLV."
Which series of satellites are in operation?,the IRNSS series.
What is the next variant of GSLV Mk III?,The next variant of GSLV is GSLV Mk III with indigenous high thrust cryogenic engine and stage having the capability of launching 4 tonne class of communication satellites.
What is the role of the launchers in the INSAT System?,SDSC SHAR is the spaceport of India and is responsible for the integration of launchers.
What was the first Indian rocket launch station?,TERLS .
What is the mission to Mars?,Mars Orbiter Mission is ISROs first interplanetary mission to planet Mars with an orbiter craft designed to orbit Mars in an elliptical orbit of 372 km by 80000 km.
What type of orbits will GSLV Mk III be capable of placing?,GTOs.
What is the main objective of the IRNSS?,The main objective is to provide Reliable Position Navigation and Timing services over India and its neighbourhood to provide fairly good accuracy to the user.
What is the mission to the Moon?,"Chandrayaan2 will be an advanced version of the previous Chandrayaan1 mission to Moon ,Chandrayaan1 India's first mission to Moon was launched successfully on October 22 2008 from SDSC SHAR Sriharikota."
What is the name of the Indian Satellite System?,IRNSS This is an independent Indian Satellite based positioning system for critical National applications.
Which fuel is used in the Scramjet engine?,Hydrogen.
What is the name of the Indian launch vehicle?,India has two operational launchers PSLV and Geosynchronous SLV GSLV.
What is Scramjet Engine TD?,Scramjet Engine TD The first experimental mission of ISROs Scramjet Engine towards the realisation of an Air Breathing Propulsion System was successfully conducted on August 28 2016 from SDSC SHAR Sriharikota.
Who is the prime minister of India?,Narendra Modi.
In What month did the launch of Rohini satellites take place?,04-01-1983.
How far is GSLV Mk III from Earth?,600 km.
What is the purpose of the IMS2 mission?,One of the unique features of the AstroSat mission is that it enables the simultaneous multiwavelength observations of various astronomical objects with a single satellite.
When was the TERLS established?,1963
What is the name of the IRNSS constellation?,The IRNSS constellation was named as NavIC Navigation with Indian Constellation by the Honourable Prime Minister Mr Narendra Modi and dedicated to the nation on the occasion of the successful launch of the IRNSS1G satellite.
What is the purpose of the IMS1?,IMS 1 IMS1 bus has been developed as a versatile bus of 100 kg class Which includes a payload capability of around 30 kg.
Where did the first sounding rocket launch from Thumba Kerala on 21 November 1963 mark?,Thiruvananthapuram.
What is the first mission of IMS2?,The first mission of IMS2 is SARAL.
In What year did RSR program be consolidated?,1975
When was the first mission of the IMS1 series successfully launched?,The first mission of the IMS1 series was launched successfully on April 28th 2008 as a co-passenger along with Cartosat 2.
What type of craft is the Chandrayaan 2?,Lander Craft.
In What month did the Rohini launch?,05-01-1981.
What are the main requirements of the INSAT INSTA?,In order to achieve high accuracy in placing satellites into their orbits a combination of accuracy efficiency power and immaculate planning are required.
When was the first experimental flight of the SLV3?,08-01-1979.
When did ISRO start launching sounding rockets?,1965
What date did the IRNSS1A launch?,28-04-2016.
What is AstroSat?,AstroSat is the first dedicated Indian astronomy mission aimed at studying celestial sources in X Ray optical and UV spectral bands simultaneously.
What is the main objective of the GAGAN?,The main objectives of GAGAN are to provide Satellite Based Navigation services with accuracy and integrity required for civil aviation applications and to provide better AT Management over Indian Airspace.
When was the first uncrewed flight of the Gaganyaan?,"Initially the first uncrewed flight of the orbital vehicle was proposed to be in 2013 then it was revised to 2016 ,The HALHAL manufactured crew module had its first uncrewed experimental flight on 18 December 2014."
When is the first crew module to be launched?,It is Planned for 2022.
When was the first uncrewed launch delayed?,"On 11 June 2020 it was announced that while the first uncrewed Gaganyaan launch has been delayed due to COVID19 pandemic in India, the overall timeline for crewed launches is expected to remain unaffected."
What is the regime of the Gaganyaan pad abort test?,Atmospheric.
What is the reentry regime of the Gaganyaan?,regime suborbital.
When is the first test flight of the Gaganyaan capsule?,Inflight launch abort and parachute tests are expected to be conducted by the end of 2019.
How many people will be on board the Gaganyaan?,The spacecraft is being designed to carry three people and a planned upgraded version will be equipped with rendezvous and docking capability.
When is the launch abort expected to be conducted?,the end of 2019.
What year did the Indian Spaceflight Programme take place?,2017
When did Vyommitra was launched?,22-01-2020.
How long does a spacecraft take to return to the Earth?,up to seven days.
In What year was the first uncrewed flight of the orbital vehicle proposed?,2013
Who gave over the first boilerplate prototype of Crew Module structural assembly to ISRO?,HAL.
When is the first test flight of the GSLV Mk3 X1?,It is Planned for Q4 of 2021.
Who could use Gaganyaans thermal control systems?,Russian.
When was the project of Gaganyaan reconsidered?,early 2014.
When was the first uncrewed Gaganyaan launch delayed?,11-06-2020.
When was the first crewed vehicle to be launched?,no earlier than 2022.
What is the role of the SAC?,"The SAC is an institution of research in Ahmedabad under the aegis of the ISRO ,It is one of the major centres of ISRO that is engaged in the research development and demonstration of applications of space technology in the field of telecommunications remote sensing meteorology and satellite navigation Sat Nav ,SAC provides its infrastructure to conduct training courses to the students of the Center for Space Science and Technology Education in Asia and The Pacific CSSTEAP."
What is the name of the first Indian rocket?,The first Indian designed and built rocket 1 made its maiden flight on 20 November 1967.
What is the role of the VSSC?,Over the last four decades VSSC has become the leading centre for the development of launch vehicle technology.
What was the first SLV?,the ASLV.
What was the first workhorse launch vehicle in India?,the PSLV.
Who founded the SAC?,It was founded by Dr Vikram Sarabhai.
What are the main objectives of VSSC?,"The quality objectives of the Centre are planning, implementing and maintaining a quality system during design development production and operation of subsystems and systems for launch vehicles."
What are the main activities of VSSC?,Major programmes of VSSC include the PSLV Geosynchronous SLV GSLV RSR Space Capsule Recovery Experiment RLVs and Air Breathing Propulsion.
What are the achievements of the SAC?,Some of the achievements of the SAC include the development of communication and meteorological payloads for INSAT satellites optical and microwave payloads for IRS satellites.
who is the present chairman?,Scientist Sivan K is the Chairman of ISRO ISRO.
do you know your name?,I am Vyommitra.
can you tell me who you are?,I am Vyommitra.
do you know your name?,I am Vyommitra.
the first man to get in space?,Major Yuri Gagarin Russian is the first man to enter into space.
the first man to set foot in space?,Major Yuri Gagarin Russian is the first man to enter into space.
what are the main functions of navic ?,Studies into using NavIC signals for detecting ocean current and wind speeds rip current detection soil moisture detection etc.
